yyyy,mm,day,HH_UTC,MM,zm,d,z0,u_mean,L,sigma_v,u_star,wind_dir
2017,7,2,9,0,15,1.33,0.20,-999,-149.6420441,1.5425,0.4604,8.05
2017,7,2,9,30,15,1.33,0.20,-999,-125.7341537,1.5944,0.4774,19.96
2017,7,2,10,0,15,1.33,0.20,-999,-122.6773605,1.4157,0.4078,14.58
2017,7,2,10,30,15,1.33,0.20,-999,-173.2269287,1.6287,0.4737,22.56
2017,7,2,11,0,15,1.33,0.20,-999,-170.8691711,1.4463,0.4801,6.10
2017,7,2,11,30,15,1.33,0.20,-999,-188.5764771,1.6764,0.4497,14.13
2017,7,2,12,0,15,1.33,0.20,-999,-257.3044434,1.8099,0.5639,12.73
2017,7,2,12,30,15,1.33,0.20,-999,-206.770,1.4426,0.4550,6.21
2017,7,2,13,0,15,1.33,0.20,-999,-999,-999,-999,-999
2017,7,2,13,30,15,1.33,0.20,-999,-56.597,0.9884,0.3153,95.18
2017,7,2,14,0,15,1.33,0.20,-999,-35.580,0.9936,0.2013,61.22
2017,7,2,14,30,15,1.33,0.20,-999,-61.712,1.1237,0.2784,80.90
2017,7,2,15,0,15,1.33,0.20,-999,-61.584,1.0672,0.3063,86.11
2017,7,2,15,30,15,1.33,0.20,-999,155.546,0.6826,0.1970,41.25
